Date,All Property,Core Sector
2018-01-01,129.533962,127.11108290000001
2018-02-01,130.15862679999998,127.8463646
2018-03-01,129.16014380000001,126.46499709999999
2018-04-01,129.4081472,126.9208559
2018-05-01,130.84915900000001,129.08297530000002
2018-06-01,131.02289869999998,129.08297530000002
2018-07-01,131.1021387,129.0120092
2018-08-01,131.6808311,129.54740619999998
2018-09-01,131.6808311,129.54740619999998
2018-10-01,131.6808311,129.54740619999998
2018-11-01,132.10369790000001,129.94895259999998
2018-12-01,132.1040733,129.94895259999998
2019-01-01,132.10471429999998,129.94895259999998
2019-02-01,132.5410521,130.53382779999998
2019-03-01,132.70019920000001,130.8992338
2019-04-01,131.92508610000002,129.9439816
2019-05-01,132.9013939,131.1319629
2019-06-01,133.3871054,132.3300751
2019-07-01,133.4450117,132.4059081
2019-08-01,133.8,132.7
2019-09-01,134.0,132.7
2019-10-01,134.7,133.9
2019-11-01,135.4,135.1
2019-12-01,135.4,135.1
2020-01-01,135.44919860000002,135.104438
2020-02-01,135.24787980000002,134.9100731
2020-03-01,133.5442137,134.930584
2020-04-01,120.94452749999999,121.01982269999999
