Date,All Property,Core Sector
2010-03-01,72.60974057,68.79729389
2010-04-01,75.75183704,72.18826378
2010-05-01,76.76140697,72.69443107
2010-06-01,77.26708013,73.55297715
2010-07-01,78.60809835,74.5911957
2010-08-01,79.6153368,75.64607176
2010-09-01,81.06204187,77.49466029
2010-10-01,81.81814471,77.64467521
2010-11-01,83.06441581,79.47433869
2010-12-01,83.71841495,79.90687662
2011-01-01,84.56211993,80.14366109
2011-02-01,85.81548616,81.2138528
2011-03-01,87.73823095,83.78069355
2011-04-01,88.88962804,85.33798889
2011-05-01,91.14086655,87.81847242
2011-06-01,91.18141566,87.87265038
2011-07-01,91.17882749,87.86963364
2011-08-01,92.19947623,88.73295399
2011-09-01,92.21286597,88.74190864
2011-10-01,92.2013524,88.72686314
2011-11-01,92.77448568,89.09822583
2011-12-01,92.79890823,89.11403194
2012-01-01,92.83091208,89.15547673
2012-02-01,93.17525191,89.431706
2012-03-01,93.40152535,89.58506671
2012-04-01,93.42598899,89.7155545
2012-05-01,94.8348189,90.91359356
2012-06-01,94.96907493,91.02480174
2012-07-01,94.98690068,91.04057745
2012-08-01,96.30375048,92.16658562
2012-09-01,96.77609283,92.63022745
2012-10-01,96.73787677,92.57253433
2012-11-01,98.07949504,93.78024891
2012-12-01,98.08816271,93.79149654
2013-01-01,98.10489215,93.81302248
2013-02-01,98.99070273,94.61684828
2013-03-01,100.1543131,95.83158808
2013-04-01,100.5968447,96.6838384
2013-05-01,103.3227372,99.20862507
2013-06-01,103.341572,99.20862507
2013-07-01,102.6697689,98.40583572
2013-08-01,103.3855643,98.82694183
2013-09-01,103.3855643,98.82694183
2013-10-01,103.3855643,98.82694183
2013-11-01,104.606566,99.78730454
2013-12-01,104.7857561,100.0113351
2014-01-01,104.7828276,100.0080159
2014-02-01,106.0886375,101.0681787
2014-03-01,106.4987533,101.0891073
2014-04-01,107.0676269,101.8087983
2014-05-01,109.2711231,104.1145677
2014-06-01,109.948844,104.514037
2014-07-01,109.9498145,104.5155528
2014-08-01,112.5975466,106.6399079
2014-09-01,113.7245665,107.9145527
2014-10-01,113.9086627,108.3512802
2014-11-01,116.0898237,110.3673894
2014-12-01,116.245575,110.4460987
2015-01-01,117.3454129,111.477395
2015-02-01,118.6010683,112.6067317
2015-03-01,118.6241729,112.6974432
2015-04-01,118.8998159,113.019621
2015-05-01,121.7886046,116.3610592
2015-06-01,121.8065251,116.3610592
2015-07-01,121.8213748,116.3610596
2015-08-01,123.306818,117.7069953
2015-09-01,123.9315407,118.4538324
2015-10-01,123.9785868,118.5165978
2015-11-01,125.5487231,120.8955727
2015-12-01,125.555131,120.9025991
2016-01-01,124.5815758,121.2185761
2016-02-01,125.4962343,122.2134116
2016-03-01,125.250046,121.9283029
2016-04-01,125.2101536,121.8797544
2016-05-01,126.5713176,123.3497736
2016-06-01,127.1096031,124.2607892
2016-07-01,126.9805944,123.8689922
2016-08-01,127.9893647,124.8030281
2016-09-01,127.990606,124.8050454
2016-10-01,127.8106915,124.5132156
2016-11-01,128.3013557,125.3096066
2016-12-01,128.3023654,125.3120721
2017-01-01,128.2914407,125.3103183
2017-02-01,128.4263035,125.3169953
2017-03-01,128.2431418,125.202498
2017-04-01,128.5264333,125.201997
2017-05-01,128.2082121,125.2389326
2017-06-01,128.1309028,125.4715187
2017-07-01,128.4394041,125.9657968
2017-08-01,129.6170555,126.988853
2017-09-01,129.718089,126.9887384
2017-10-01,129.0566316,126.1166535
2017-11-01,129.5476382,126.7842463
2017-12-01,129.5974205,126.853847
2018-01-01,129.533962,127.1110829
2018-02-01,130.1586268,127.8463646
2018-03-01,129.1601438,126.4649971
2018-04-01,129.4081472,126.9208559
2018-05-01,130.849159,129.0829753
2018-06-01,131.0228987,129.0829753
2018-07-01,131.1021387,129.0120092
2018-08-01,131.6808311,129.5474062
2018-09-01,131.6808311,129.5474062
2018-10-01,131.6808311,129.5474062
2018-11-01,132.1036979,129.9489526
2018-12-01,132.1040733,129.9489526
2019-01-01,132.1047143,129.9489526
2019-02-01,132.5410521,130.5338278
2019-03-01,132.7001992,130.8992338
2019-04-01,131.9250861,129.9439816
2019-05-01,132.9013939,131.1319629
2019-06-01,133.3871054,132.3300751
2019-07-01,133.4450117,132.4059081
2019-08-01,133.8,132.7
2019-09-01,134,132.7
2019-10-01,134.7,133.9
2019-11-01,135.4,135.1
2019-12-01,135.4,135.1
2020-01-01,135.4491986,135.104438
2020-02-01,135.2478798,134.9100731
2020-03-01,133.5442137,134.930584
2020-04-01,120.9445275,121.0198227
